descripcion_tipo_presupuesto,finalidad,funcion,monto
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,354-SERVICIOS CIENTIFICOS Y TECNOLOGICOS,18045247192
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,354-SERVICIOS CIENTIFICOS Y TECNOLOGICOS,12207395001
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,354-SERVICIOS CIENTIFICOS Y TECNOLOGICOS,6875799323
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,354-SERVICIOS CIENTIFICOS Y TECNOLOGICOS,3234182914
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,353-DIFUSION DEL CONOCIMIENTO CIENTIFICO Y TECNOLOGICO,62389439689
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,353-DIFUSION DEL CONOCIMIENTO CIENTIFICO Y TECNOLOGICO,22367656956
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,353-DIFUSION DEL CONOCIMIENTO CIENTIFICO Y TECNOLOGICO,5108268912
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,353-DIFUSION DEL CONOCIMIENTO CIENTIFICO Y TECNOLOGICO,1226175643
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,352-INVESTIGACION Y DESARROLLO EXPERIMENTAL,11152047550
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,352-INVESTIGACION Y DESARROLLO EXPERIMENTAL,1270761698
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,349-EDUCACION Y CULTURA SIN DISCRIMINAR,1906235086878
1-PROGRAMAS DE ADMINISTRACION,20-RECURSOS DEL CREDITO PUBLICO,349-EDUCACION Y CULTURA SIN DISCRIMINAR,238579098701
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,349-EDUCACION Y CULTURA SIN DISCRIMINAR,22613370192
3-PROGRAMAS DE INVERSIÓN,20-RECURSOS DEL CREDITO PUBLICO,349-EDUCACION Y CULTURA SIN DISCRIMINAR,22509633942
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,349-EDUCACION Y CULTURA SIN DISCRIMINAR,22422143249
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,349-EDUCACION Y CULTURA SIN DISCRIMINAR,14701674971
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,349-EDUCACION Y CULTURA SIN DISCRIMINAR,7405791032
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,349-EDUCACION Y CULTURA SIN DISCRIMINAR,2575584036
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,345-DEPORTE Y RECREACION,29896107654
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,345-DEPORTE Y RECREACION,27292428960
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,344-CULTURA,58697571199
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,344-CULTURA,31962966179
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,344-CULTURA,634750000
