tipo_presupuesto,funcion,anho,monto
1-PROGRAMAS DE ADMINISTRACION,371-VIVIENDA Y URBANISMO,2013,350919125858
2-PROGRAMAS DE ACCIÓN,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,2011,344144772485
2-PROGRAMAS DE ACCIÓN,211-SERVICIOS DE SEGURIDAD NACIONAL,2014,342960330942
1-PROGRAMAS DE ADMINISTRACION,349-EDUCACION Y CULTURA SIN DISCRIMINAR,2012,340077391425
1-PROGRAMAS DE ADMINISTRACION,111-LEGISLATIVA,2011,339927276589
1-PROGRAMAS DE ADMINISTRACION,323-SERVICIOS DE ACCIÓN SOCIAL,2012,337343133022
2-PROGRAMAS DE ACCIÓN,211-DEFENSA MILITAR,2011,331158959439
2-PROGRAMAS DE ACCIÓN,323-SERVICIOS DE ACCIÓN SOCIAL,2012,328362295623
2-PROGRAMAS DE ACCIÓN,"333-VEJEZ, INCAPACIDAD Y SUPERVIVENCIA",2015,327503864439
2-PROGRAMAS DE ACCIÓN,142-CONTROL FISCAL,2014,326629388703
2-PROGRAMAS DE ACCIÓN,371-VIVIENDA Y URBANISMO,2013,319959632059
2-PROGRAMAS DE ACCIÓN,319-SALUD SIN DISCRIMINAR,2012,318863669602
2-PROGRAMAS DE ACCIÓN,371-VIVIENDA Y URBANISMO,2015,315738103951
2-PROGRAMAS DE ACCIÓN,"333-VEJEZ, INCAPACIDAD Y SUPERVIVENCIA",2013,315181780865
1-PROGRAMAS DE ADMINISTRACION,491-SERVICIOS DE OBRAS PÚBLICAS,2015,313666560007
2-PROGRAMAS DE ACCIÓN,142-CONTROL FISCAL,2015,313419020837
2-PROGRAMAS DE ACCIÓN,142-CONTROL FISCAL,2013,310460043111
1-PROGRAMAS DE ADMINISTRACION,319-SALUD SIN DISCRIMINAR,2012,308834369065
1-PROGRAMAS DE ADMINISTRACION,"329-PROMOCION,ASISTENCIA Y ACCION SOCIAL SIN DISCRIMINAR",2015,304991235561
1-PROGRAMAS DE ADMINISTRACION,371-VIVIENDA Y URBANISMO,2012,303995263972
1-PROGRAMAS DE ADMINISTRACION,331-ADMINISTRACION Y PROMOCION,2012,303769106435
2-PROGRAMAS DE ACCIÓN,461-PRODUCCION INDUSTRIAL,2011,302067370310
1-PROGRAMAS DE ADMINISTRACION,371-VIVIENDA Y URBANISMO,2014,299273952260
1-PROGRAMAS DE ADMINISTRACION,349-EDUCACION Y CULTURA SIN DISCRIMINAR,2011,297869529754
2-PROGRAMAS DE ACCIÓN,211-DEFENSA MILITAR,2012,296807840793
2-PROGRAMAS DE ACCIÓN,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,2013,286110651605
2-PROGRAMAS DE ACCIÓN,331-ADMINISTRACION Y PROMOCION,2011,283284205395
1-PROGRAMAS DE ADMINISTRACION,331-ADMINISTRACION Y PROMOCION,2011,279799081410
2-PROGRAMAS DE ACCIÓN,454-CREDITO AGRICOLA Y PECUARIO,2014,275616588862
1-PROGRAMAS DE ADMINISTRACION,319-SALUD SIN DISCRIMINAR,2011,274085231694
1-PROGRAMAS DE ADMINISTRACION,319-SALUD SIN DISCRIMINAR,2013,266953112201
1-PROGRAMAS DE ADMINISTRACION,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,2012,264149780205
2-PROGRAMAS DE ACCIÓN,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,2014,263251904355
2-PROGRAMAS DE ACCIÓN,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,2015,259301151327
1-PROGRAMAS DE ADMINISTRACION,"329-PROMOCION,ASISTENCIA Y ACCION SOCIAL SIN DISCRIMINAR",2014,255786445454
2-PROGRAMAS DE ACCIÓN,461-PRODUCCION INDUSTRIAL,2013,254492919436
2-PROGRAMAS DE ACCIÓN,"333-VEJEZ, INCAPACIDAD Y SUPERVIVENCIA",2011,254172319404
2-PROGRAMAS DE ACCIÓN,211-SEGURIDAD NACIONAL,2013,252654809479
1-PROGRAMAS DE ADMINISTRACION,323-SERVICIOS DE ACCIÓN SOCIAL,2014,248774989886
1-PROGRAMAS DE ADMINISTRACION,"329-PROMOCION,ASISTENCIA Y ACCION SOCIAL SIN DISCRIMINAR",2013,247828102361
2-PROGRAMAS DE ACCIÓN,454-CREDITO AGRICOLA Y PECUARIO,2013,241982870558
2-PROGRAMAS DE ACCIÓN,142-CONTROL FISCAL,2011,237203094015
1-PROGRAMAS DE ADMINISTRACION,133-SERVICIO EXTERIOR,2014,236356971898
2-PROGRAMAS DE ACCIÓN,142-CONTROL FISCAL,2012,236182078494
1-PROGRAMAS DE ADMINISTRACION,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",2014,233456068377
1-PROGRAMAS DE ADMINISTRACION,491-SERVICIOS DE OBRAS PÚBLICAS,2014,227654660500
1-PROGRAMAS DE ADMINISTRACION,323-SERVICIOS DE ACCIÓN SOCIAL,2013,226300890507
1-PROGRAMAS DE ADMINISTRACION,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,2011,224275183471
1-PROGRAMAS DE ADMINISTRACION,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,2013,221419434863
1-PROGRAMAS DE ADMINISTRACION,611-REGULACIÓN Y CONTROL DE SERVICIOS DE TELECOMUNICACIÓN,2014,220986964283
1-PROGRAMAS DE ADMINISTRACION,131-CONDUCCIÓN POLITICA,2014,218412681274
1-PROGRAMAS DE ADMINISTRACION,133-SERVICIO EXTERIOR,2012,217422073267
1-PROGRAMAS DE ADMINISTRACION,133-SERVICIO EXTERIOR,2013,210827798449
2-PROGRAMAS DE ACCIÓN,341-EDUCACION ELEMENTAL,2016,210636627512
1-PROGRAMAS DE ADMINISTRACION,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,2014,210625853361
2-PROGRAMAS DE ACCIÓN,481-INTERMEDIACION FINANCIERA,2016,207691547707
2-PROGRAMAS DE ACCIÓN,454-CREDITO AGRICOLA Y PECUARIO,2012,207435495117
2-PROGRAMAS DE ACCIÓN,371-VIVIENDA Y URBANISMO,2012,204495095667
1-PROGRAMAS DE ADMINISTRACION,371-VIVIENDA Y URBANISMO,2011,204412887502
1-PROGRAMAS DE ADMINISTRACION,"329-PROMOCION,ASISTENCIA Y ACCION SOCIAL SIN DISCRIMINAR",2012,202661031126
1-PROGRAMAS DE ADMINISTRACION,131-CONDUCCIÓN POLITICA,2013,198600489047
1-PROGRAMAS DE ADMINISTRACION,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",2013,197382218992
1-PROGRAMAS DE ADMINISTRACION,491-SERVICIOS DE OBRAS PÚBLICAS,2013,192213191337
1-PROGRAMAS DE ADMINISTRACION,491-SERVICIOS DE OBRAS PÚBLICAS,2012,189727674799
1-PROGRAMAS DE ADMINISTRACION,133-SERVICIO EXTERIOR,2011,189645316325
2-PROGRAMAS DE ACCIÓN,371-VIVIENDA Y URBANISMO,2014,189205277108
1-PROGRAMAS DE ADMINISTRACION,143-ADMINISTRACION FINANCIERA Y CONTROL GUBERNAMENTAL,2014,187650665565
1-PROGRAMAS DE ADMINISTRACION,143-ADMINISTRACION FINANCIERA Y CONTROL GUBERNAMENTAL,2013,184149499515
2-PROGRAMAS DE ACCIÓN,432-TRANSPORTE AEREO,2015,182412456553
2-PROGRAMAS DE ACCIÓN,311-ATENCION MEDICA,2016,182107271164
3-PROGRAMAS DE INVERSIÓN,349-EDUCACION Y CULTURA SIN DISCRIMINAR,2011,181712335384
1-PROGRAMAS DE ADMINISTRACION,142-CONTROL FISCAL,2014,180949725071
2-PROGRAMAS DE ACCIÓN,454-CREDITO AGRICOLA Y PECUARIO,2011,179592654920
3-PROGRAMAS DE INVERSIÓN,349-EDUCACION Y CULTURA SIN DISCRIMINAR,2012,175990569389
1-PROGRAMAS DE ADMINISTRACION,459-AGRICULTURA Y OTROS SIN DISCRIMINAR,2012,175938765398
1-PROGRAMAS DE ADMINISTRACION,459-AGRICULTURA Y OTROS SIN DISCRIMINAR,2011,175629942248
3-PROGRAMAS DE INVERSIÓN,371-VIVIENDA Y URBANISMO,2015,175142338597
1-PROGRAMAS DE ADMINISTRACION,131-CONDUCCIÓN POLITICA,2011,174541038976
1-PROGRAMAS DE ADMINISTRACION,131-CONDUCCIÓN POLITICA,2012,173822431940
2-PROGRAMAS DE ACCIÓN,319-SALUD SIN DISCRIMINAR,2013,172021605165
1-PROGRAMAS DE ADMINISTRACION,492-INVERSIÓN SERVICIOS ECONÓMICOS,2013,164492325426
2-PROGRAMAS DE ACCIÓN,121-JUDICIAL,2016,160838168075
2-PROGRAMAS DE ACCIÓN,432-TRANSPORTE AEREO,2014,153055801720
3-PROGRAMAS DE INVERSIÓN,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,2012,152969914915
2-PROGRAMAS DE ACCIÓN,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES Y MUNICIPALES,2016,152622175840
1-PROGRAMAS DE ADMINISTRACION,"329-PROMOCION,ASISTENCIA Y ACCION SOCIAL SIN DISCRIMINAR",2011,151862054809
1-PROGRAMAS DE ADMINISTRACION,412-PETROLEO Y GAS,2015,149395806838
1-PROGRAMAS DE ADMINISTRACION,611-REGULACIÓN Y CONTROL DE SERVICIOS DE TELECOMUNICACIÓN,2013,148871040054
2-PROGRAMAS DE ACCIÓN,231-RECLUSIÓN PENAL,2015,148700551157
3-PROGRAMAS DE INVERSIÓN,319-SALUD SIN DISCRIMINAR,2014,146127356681
1-PROGRAMAS DE ADMINISTRACION,611-REGULACIÓN Y CONTROL DE SERVICIOS DE TELECOMUNICACIÓN,2012,143327531328
3-PROGRAMAS DE INVERSIÓN,461-PRODUCCION INDUSTRIAL,2014,142549617000
2-PROGRAMAS DE ACCIÓN,432-TRANSPORTE AEREO,2013,141306595572
1-PROGRAMAS DE ADMINISTRACION,491-SERVICIOS DE OBRAS PÚBLICAS,2011,139930457060
1-PROGRAMAS DE ADMINISTRACION,142-CONTROL FISCAL,2015,138332860353
2-PROGRAMAS DE ACCIÓN,371-VIVIENDA Y URBANISMO,2011,137488263036
2-PROGRAMAS DE ACCIÓN,221-ORDEN PÚBLICO Y SEGURIDAD INTERIOR,2016,136329446080
1-PROGRAMAS DE ADMINISTRACION,349-EDUCACION Y CULTURA SIN DISCRIMINAR,2016,134915581437
3-PROGRAMAS DE INVERSIÓN,312-SANEAMIENTO AMBIENTAL,2012,134266350414
1-PROGRAMAS DE ADMINISTRACION,343-EDUCACION SUPERIOR Y UNIVERSITARIA,2015,130764608335
1-PROGRAMAS DE ADMINISTRACION,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,2015,130539884551
1-PROGRAMAS DE ADMINISTRACION,211-SERVICIOS DE SEGURIDAD NACIONAL,2016,130089227372
3-PROGRAMAS DE INVERSIÓN,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",2014,130017058259
2-PROGRAMAS DE ACCIÓN,432-TRANSPORTE AEREO,2012,129221711857
2-PROGRAMAS DE ACCIÓN,231-RECLUSIÓN PENAL,2014,128753090607
1-PROGRAMAS DE ADMINISTRACION,611-REGULACIÓN Y CONTROL DE SERVICIOS DE TELECOMUNICACIÓN,2011,125049537226
1-PROGRAMAS DE ADMINISTRACION,221-ORDEN PÚBLICO Y SEGURIDAD INTERIOR,2014,124657593245
3-PROGRAMAS DE INVERSIÓN,491-SERVICIOS DE OBRAS PÚBLICAS,2016,123392293817
3-PROGRAMAS DE INVERSIÓN,461-PRODUCCION INDUSTRIAL,2015,122420555722
2-PROGRAMAS DE ACCIÓN,432-TRANSPORTE AEREO,2011,122148680305
3-PROGRAMAS DE INVERSIÓN,312-SANEAMIENTO AMBIENTAL,2015,119184555896
2-PROGRAMAS DE ACCIÓN,361-RELACIONES LABORALES,2015,117743344088
2-PROGRAMAS DE ACCIÓN,231-RECLUSIÓN PENAL,2013,113821908334
1-PROGRAMAS DE ADMINISTRACION,221-ORDEN PÚBLICO Y SEGURIDAD INTERIOR,2012,113022025894
1-PROGRAMAS DE ADMINISTRACION,221-ORDEN PÚBLICO Y SEGURIDAD INTERIOR,2013,109625788655
2-PROGRAMAS DE ACCIÓN,"329-PROMOCION,ASISTENCIA Y ACCION SOCIAL SIN DISCRIMINAR",2012,109531749236
3-PROGRAMAS DE INVERSIÓN,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",2015,108691377159
2-PROGRAMAS DE ACCIÓN,143-ADMINISTRACION FINANCIERA Y CONTROL GUBERNAMENTAL,2015,107832872295
2-PROGRAMAS DE ACCIÓN,343-EDUCACION SUPERIOR Y UNIVERSITARIA,2016,106467082134
3-PROGRAMAS DE INVERSIÓN,312-SANEAMIENTO AMBIENTAL,2013,106202857893
